項次,裁處書日期,違規情節,罰鍰金額數,罰則註記
23,112/11/02,緣受處分人係「OO牙醫診所（機構代碼：3701028625）」負責醫師，案係該診所於網頁「極致冷光美白專案實施中 - 璽恩牙醫診所 Shine Smile Clinic」（網址：https://sOOOOclinic.com/極致冷光美白專案實施中/；本局下載日期：112年10月6日）刊登內容略以：「......極致冷光美白專案實施中...極致冷光美白...期間限定優惠 實施中...牙齒冷光美白...來店諮詢享優惠...」，以優惠等具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"50,000",醫療法第86條
24,112/11/01,緣受處分人係「OO牙醫診所(機構代碼：3701113165)」負責醫師，案係該診所於（一）「OO牙醫診所Good will」Facebook（網址：https://www.facebook.comOOOO85/posts/pfbid02JQmTPN6pg4ywu17fzECOOOOHsbw891Vztn7XGvaH4m5xOOOOUPrYdzNDvVol/?mibextid=cr9u03；本局下載日期：112年10月3日）刊登內容略以：「...兩人同行即可享有多項美白8折優惠不用擔心期限！從今天起到9月底都可適用此活動喔...」；（二）Instagram（網址：https://www.instagram.com/OOOOdental/；本局下載日期：112年10月3日）刊載內容略以：「…母親節限時優惠按讚臉書或IG+google評論享雷射美白限時75折優惠即日起至5月底…」、「…贈送價值15000的居家美白…」、「…情人節當月限定牙齒超亮白方案兩人同行八折優惠…」，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"60,000",醫療法第86條
25,112/10/26,緣受處分人係「OO中醫診所(機構代碼：3801182984)」負責醫師，案係民眾反映該診所販售醫療券未開立收據疑義，本局人員112年9月15日至該診所查核，查有病人彭OO等3人購買療程券之醫療收據，內容登載療程券（材料費：9000元），受處分人坦承有販售10次療程券。受處分人負責診所以一次性收取醫療費用預約治療方式，向民眾先收取醫療費用之情事，核已違反醫療法第22條第2項規定。,"50,000",醫療法第22條第2項
26,112/10/26,緣受處分人OO醫美診所(機構代碼:3501013817)，案係本局112年8月8日至該診所查察，暨該診所負責人代理人112年8月14日至本局說明該診所於112年3月20日至同年7月12日期間進行整修未能提供醫療服務，如病人有就診需求皆安排至其他醫療機構接受診療，惟該診所遲至112年10月13日(本局收文日)報本局備查停業，該診所未於停業事實發生30日內報本局備查，核已違反醫療法第23條第1項規定。,0,醫療法第23條第1項
27,112/10/24,受處分人係「OOOO診所（機構代碼：35010OOOO）」負責醫師，案係民眾反映其母陳顏OO 112年6月19日、6月26日及7月3日至OOOO診所就醫疑義。本局稽查人員112年8月9日至該診所查核，現場查獲病人陳顏OO療程消費明細載有6月19日腦活素點滴x10+2 費用48000、輕高壓氧x10+2 費用12000，6月19日、6月26日、7月3日腦活素+HBOT云云，負責醫師表示療程消費明細所收費用待療程12次結束後才開立收據給病人。受處分人負責診所以預約治療方式，向民眾一次性收取醫療費用之情事，核已違反醫療法第22條第2項規定。,"50,000",醫療法第22條第2項
28,112/10/24,"緣受處分人係「OOOO診所(機構代碼：35010OOOO)」負責醫師，案係民眾反映其母陳顏OO 112年6月19日、6月26日及7月3日至OOOO診所就醫疑義。本局稽查人員112年8月9日至該診所查核，查獲病人陳顏OO之醫囑單未加註日期，簽名欄位僅簽寫「戴」；經審視上開病歷資料全卷，未建立清晰、詳實、完整之病歷。受處分人未督導其所屬醫事人員執行業務時，依規定製作病歷紀錄並簽名或蓋章及加註執行年、月、日等，核已違反醫療法第68條之規定。
","10,000",醫療法第68條第1項
29,112/10/20,緣受處分人為OO診所(機構代碼:3501154135)負責醫師，該診所111年2月20日歇業，受處分人遲至112年9月27日始辦理歇業事宜。受處分人未於歇業事實發生30日內向本局辦理歇業，核已違反醫療法第23條第1項規定。,0,醫療法第23條第1項
30,112/10/13,受處分人111年8月28日2時18分於OOOO醫院，於護理師執行醫療業務時徒手毆打護理師，在急診室內向護理師辱罵，妨礙醫療業務之執行，已違反醫療法第24條第2項規定。,"30,000",醫療法第24條第2項
31,112/10/13,"受處分人係「OOOO診所」（機構代碼：3501154377，負責醫師：林大弘），案係民眾反映至該診所治療疑義，本局112年7月31日至該診所查核，查有受處分人提供民眾李O能紀錄表載有「日期：2023/5/4 內容項目：彩衝光or飛梭，10+2 金額：40000」，且療程使用/修護記錄表載有「5/4 彩衝光+術後保濕導入 12-1、6/20 同上 12-2、7/18 飛梭(11050何O瑄用) 12-3、112/7/27 彩衝光+術後保濕導入 12-4...」，惟診所提供112年5月4日醫療收據開立品名為美容產品、金額40,000元，醫療收據未正確載明自費項目及當次醫療費用金額，已違反醫療法第22條第1項之規定。",0,醫療法第22條第1項
32,112/10/13,緣受處分人係「OOOO牙醫診所（機構代碼：3701174024）」負責醫師，案係該診所於Facebook帳號「OOOO牙醫診所」（網址：https://www.facebook.com/OOOO牙醫診所/100090066507174/；本局下載日期：112年9月14日）刊登內容略以：「...還在因高額費用而猶豫做矯正嗎??快把握...輕矯正限定專案 ...OOOO XClearCorrect(TW)...即日起至2023/10/31 凡透過官方LINE預約諮詢，即享： 1. CC矯正動畫模擬分析 2.諮詢費用折抵...布布齒科 x CC透明牙套 輕矯正限定專案 10/1~10/31凡透過官方LINE預約諮詢，即享以下優惠： CC矯正動畫模擬分析...諮詢費用折抵......」，以暗示贈送、優惠等具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"50,000",醫療法第86條
