項次,日期,違規情節,罰鍰金額數,罰則註記
,113/06/17,"受處分人係香港商世界健身事業有限公司光復分公司（下稱香港商世界健身公司，市招：World Gym健身俱樂部光復店；臺北市大安區忠孝東路4段330號B1） 浴池之負責人，實際經營浴室業，經本局於113年1月4日抽驗女浴池水，檢驗結果皆不符規定，同年2月20日複驗不合格，本局於113年2月1日及113年3月18日 分別以北市衛疾字第1133004207號裁處書及北市衛疾字第1133004430號裁處書，處罰鍰新臺幣2,000元及5,000元在案。經本局續於同年4月30日再次抽驗女浴池 水，抽驗單號20240331014-1和20240331014-2水中大腸桿菌群皆分別為134 CFU/100mL和148 CFU/100mL，及同年5月6日抽驗女浴池水複驗，抽驗單號 20240502001-3和20240502001-4水中大腸桿菌群皆大於200 CFU/100mL，與本局公告大腸桿菌群應低於（含）6 CFU或6 MPN不符。","8,000",1. 臺北巿營業衛生管理自治條例第15條第1項第2款 2. 臺北市營業衛生管理自治條例事件統一裁罰基準 第3點第13項
,113/06/19,受處分人係臺北市政府環境保護局內湖垃圾焚化廠（市招：葫蘆洲運動公園；臺北市內湖區安康路290號）浴池之負責人，實際經營浴室業，經本局於113年5 月14日抽驗spa浴池水，抽驗單號20240502046-4水中大腸桿菌群為62 CFU/100mL，與本局公告大腸桿菌群應低於（含）6 CFU或6 MPN不符。,"2,000",臺北巿營業衛生管理自治條例第15條第1項第2款
,113/06/19,受處分人係雀客藏居台北陽明山分公司（下稱雀客藏居公司，市招：雀客藏居陽明山溫泉飯店；臺北市士林區格致路237號）泳池之負責人，實際經營游泳 業，經本局於113年5月29日抽驗泳池水，抽驗單號20240529002-2水中大腸桿菌群大於200 CFU/100mL，與本局公告大腸桿菌群應低於（含）6 CFU或6 MPN不 符。,"2,000",臺北巿營業衛生管理自治條例第15條第1項第2款
,113/06/24,受處分人係雀客藏居台北陽明山分公司（市招：雀客藏居陽明山溫泉飯店；臺北市士林區格致路237號）溫泉浴池之負責人，實際經營浴室(溫泉)業，經本局於 113年5月29日抽驗溫泉浴池水，抽驗單號20240529001-2水中大腸桿菌群為28 CFU/100mL，與本局公告大腸桿菌群應低於（含）6 CFU或6 MPN不符。,"2,000",臺北巿營業衛生管理自治條例第16條第1項第2款
,113/07/10,受處分人係香港商世界健身事業有限公司內湖分公司（下稱香港商世界健身公司，市招：World Gym健身俱樂部內湖店；臺北市內湖區康寧路3段72號5-9樓、 11-12）浴池之負責人，實際經營浴室業。經本局於113年6月12日抽驗女浴池水，抽驗單號20240525033-1水中總菌落數為620 CFU/mL和水中大腸桿菌群為109 CFU/100mL及20240525033-2之水中大腸桿菌群為94 CFU/100mL，與本局公告大腸桿菌群應低於（含）6 CFU或6 MPN不符。,"2,000",臺北巿營業衛生管理自治條例第15條第1項第2款
,113/07/10,受處分人係香港商世界健身事業有限公司內湖分公司（下稱香港商世界健身公司，市招：World Gym健身俱樂部內湖店；臺北市內湖區康寧路3段72號5-9樓、 11-12）浴池之負責人，實際經營浴室業。經本局於113年6月12日抽驗女浴池水之自由有效餘氯量，檢測結果為0.32 ppm，與本局公告自由有效餘氯應保持百萬 分之1.0至3.0間不符。嗣經本局通知該公司於113年6月14日前完成改善，惟經本局於113年6月18日複驗，檢測結果為3.81 ppm，仍不符前開公告標準。,"4,000",臺北巿營業衛生管理自治條例第15條第1項第4款
,113/07/12,受處分人係晶城開發股份有限公司（市招：晶城青年旅館；地址：臺北市大同區南京西路288號4樓）負責人，實際經營旅館業。經本局113年3月5日營業衛生 稽查，無衛生管理人員、從業人員未定期健康檢查、衛生自主管理執行情形未見紀錄，且拋棄式刮鬍刀已過期，共4項不符規定，須於113年4月5日前完成改 善。本局於113年4月30日複查時，仍無衛生管理人員、未完成從業人員定期健康檢查且衛生自主管理執行情形未見紀錄。,"6,000",1.臺北巿營業衛生管理自治條例第4條第1項 2.臺北巿營業衛生管理自治條例第8條第1項第1款
,113/07/12,受處分人係天母奇緣親子造型髮藝（地址：臺北市士林區士東路286巷1之1號1樓）負責人，實際經美髮業。經本局113年2月26日營業衛生稽查初查結果，無衛 生管理人員、從業人員未定期健康檢查共2項不符規定，應於113年4月3日前完成改善。本局於113年4月8日複查時，從業人員定期健康檢查仍未完成。,"3,000",臺北巿營業衛生管理自治條例第8條第1項第1款
,113/07/15,受處分人係Salon S（地址：臺北市士林區忠誠路2段76巷7號）負責人，實際經營美容業。經本局112年10月31日營業衛生稽查，初查結果從業人員未定期健康 檢查，並應於112年11月2日前完成改善。本局於113年4月8日複查時，從業人員定期健康檢查仍未完成。,"3,000",臺北巿營業衛生管理自治條例第8條第1項第1款
,113/07/16,受處分人係二九酒吧（臺北市中山區民生東路1段29號2樓之2至2樓之5）負責人，實際經營娛樂業。本局113年2月1日稽查營業衛生，查無衛生管理人員合格證 書、從業人員未完成健康檢查、無進行衛生自主管理之紀錄、無病媒防治措施之紀錄、無中央空調冷卻水塔清洗紀錄、急救箱內物品過期，且未有營業場所衛 生標示，初查共7項不合格，並應於113年2月5日前完成改善。本局於112年2月26日複查時，衛生管理人員尚未完成衛生管理人員線上訓練課程，且未提供中央 空調冷卻水塔清洗紀錄。,"7,000",1.臺北巿營業衛生管理自治條例第4條第2項 2.臺北巿營業衛生管理自治條例第6條第3款
