項次編號,分類,行政區代碼,分隊名稱,巷道名稱,寬度,備註
115,紅區,63000050,城中分隊,公園路11巷,3.4,
116,紅區,63000050,城中分隊,武昌街1段16巷,2.6,
117,紅區,63000070,龍山分隊,峨眉街125巷,3,
118,紅區,63000050,城中分隊,重慶南路1段5巷,3.8,
119,紅區,63000050,城中分隊,懷寧街108巷,3.6,
120,紅區,63000070,龍山分隊,西昌街33至63號,4,
121,紅區,63000070,龍山分隊,昆明街320巷2弄1號至11號及4至6號,2.5,
122,紅區,63000070,雙園分隊,長泰街316巷,2.9,
123,紅區,63000080,萬芳分隊,木柵路4段159巷,4,
124,紅區,63000080,木柵分隊,木新路3段74巷,4,
125,紅區,63000030,金華分隊,信義路2段10巷3弄,3.8,
126,紅區,63000030,金華分隊,溫州街45巷,3.4,
127,紅區,63000030,金華分隊,和平東路1段157巷,3.3,
128,紅區,63000030,金華分隊,泰順街2巷,3.5,
129,紅區,63000030,安和分隊,復興南路1段79巷,2.6,
130,紅區,63000030,安和分隊,和平東路3段606巷,3.5,
131,紅區,63000030,安和分隊,延吉街241巷,2.8,
132,紅區,63000030,安和分隊,嘉興街376巷,3.3,
133,紅區,63000040,圓山分隊,合江街71巷,3.7,
134,紅區,63000040,松江分隊,遼寧街76巷,3.8,
135,紅區,63000010,八德分隊,八德路4段72巷10弄,3.8,
136,紅區,63000010,八德分隊,八德路4段106巷6弄,3.8,
137,紅區,63000100,內湖分隊,內湖路1段91巷,4,
138,紅區,63000100,內湖分隊,環山路1段59巷12弄,3.6,
139,紅區,63000100,內湖分隊,康寧路3段180巷,3.9,
140,紅區,63000060,延平分隊,南京西路250巷,3.6,
141,紅區,63000060,延平分隊,重慶北路1段26巷,3.3,
142,紅區,63000060,延平分隊,延平北路1段69巷,3.1,
143,紅區,63000060,延平分隊,南京西路64巷9弄,3.5,
144,紅區,63000060,大同分隊,承德路2段63巷,2.7,
145,紅區,63000060,大同分隊,蘭州街61巷,3,
146,紅區,63000110,山仔后分隊,格致路55巷,3.5,
147,紅區,63000110,山仔后分隊,仰德大道2段88巷,3.7,
148,紅區,63000110,山仔后分隊,華岡路1巷,4,
149,紅區,63000110,天母分隊,天母東路90巷,3.5,
150,紅區,63000110,雙溪分隊,中社路2段185巷,3.9,
151,紅區,63000110,劍潭分隊,中正路201巷,3.4,
152,紅區,63000110,劍潭分隊,幸福街11巷,3.6,
153,紅區,63000120,關渡分隊,中央北路4段583巷11弄,3.1,
154,紅區,63000120,秀山分隊,光華一巷,3,
155,紅區,63000120,秀山分隊,杏林三路,3.2,
156,紅區,63000120,秀山分隊,杏林三路10巷,3.8,
157,紅區,63000050,城中分隊,信義路2段161巷2弄,3.6,
158,紅區,63000050,城中分隊,仁愛路2段15巷,3.8,
159,紅區,63000050,城中分隊,仁愛路2段92巷6弄,5,
160,紅區,63000050,泉州分隊,中華路2段443巷1-32號,3.5,
161,紅區,63000070,雙園分隊,西園路1段256巷,3.1,
162,紅區,63000070,雙園分隊,中華路2段44巷,3.7,
163,紅區,63000070,雙園分隊,大理街130巷,3.6,
164,紅區,63000070,雙園分隊,西藏路135號旁與131號中間巷道,2.9,
