年度,災害名稱,成立時間,撤除時間,災情
103,麥德姆(MATMO)颱風(中度) -103年第10號颱風,103年7月22日10時(一級開設),103年7月23日18時,"受理案件：963件
電力停電59件
電信停話2件
瓦斯漏氣1件
自來水停水1件
道路淹水7件
房屋淹水4件
道路受損10件
路樹傾倒534件
交通號誌損壞35件
路燈故障70件
招牌掉落72件
電線(桿)或纜線69件
圍籬倒塌34件
緊急救護1件
其他64件"
103,0819水災,103年8月19日16時45分(二級開設),103年8月19日18時30分,無
103,鳳凰(FUNG-WONG)颱風(輕度) -103年第16號颱風,"103年9月20日20時(二級開設)
103年9月20日23時(一級開設)",103年9月22日6時,"受理案件：140件
電力停電10件
電信停話1件
瓦斯漏氣3件
自來水停水1件
道路積水2件
房屋淹水6件
道路受損2件
路樹傾倒17件
交通號誌損壞25件
路燈故障20件
招牌掉落9件
電線(桿)或纜線5件
圍籬倒塌3件
其他36件"
104,0204空難,104年2月4日11時40分(一級開設),104年2月12日19時,"0204復興航空空難
104年2月4日上午10時54分復興航空編號GE235航班墜毀於臺北市南港區與新北市汐止區交界的基隆河河面上(機上乘客53名，機組人員5名，共計58名)，本府第一時間即啟動緊急應變機制全力投入救災工作，同時行政院各單位、其他縣市政府、國軍及其他民間慈善與救難團體也投入大量資源支援本府救災。本次空難事件共造成15人受傷(不含環東大道上計程車受傷2人)、43人死亡(受傷及死亡人員發現時間及位置如下圖)，由事故發生起至2月12日17時25分尋獲最後一名失蹤旅客，2月12日21時34分現場前進指揮所撤除，搜救行動共持續進行了超過209小時，總計共動員了8,835人次、1,825輛次各式車輛、591艘次各式船艇進行救災，投入6,923人次支援各項後勤作業(如下表)，後續針對本局負責之救災現場及應變中心運作的部分依時序加以進行。
2月12日19時00分本市及南港區0204空難災害應變中心撤除，請相關單位本於權責協助善後處理工作，總計災害應變中心開設199小時20分。"
104,0614水災,104年6月14日15時43分(二級開設),104年6月14日22時,"104年6月14日受午後短延時強降雨影響，13至17時為臺北市降雨最為劇烈的時段，臺北市最大累積雨量為大安區公館站192毫米，最大時雨量亦為大安區公館站131.5毫米，共受理案件128件。
土石流2(件)。
土石崩落1(件)。
交通號誌損壞17(件)。
路燈故障10(件)。 
電線桿或纜線毀損1(件)。
前述以外其他災情11(件)。
路樹傾倒4(件)。
前述以外之道路、隧道災情3(件)
道路路基流失/坑洞3(件)
道路邊坡坍方/落石1(件)
道路(地區)積淹水33(件)
前述以外積淹水(如高架橋、橋梁、隧道)1(件)
地下道積淹水(含車行及人行地下道)4(件)
房屋積淹水(含房屋地室)34(件)
環境汙染(含垃圾清運)3(件)"
104,昌鴻」（Chan-hom）颱風-104年第9號颱風,"104年7月9日17時(二級開設)
104年7月10日8時(一級開設)",104年7月10日23時30分,"昌鴻颱風影響期間，臺北市最大累積雨量為北投區竹子湖站387.4毫米，最大時雨量亦為北投區竹子湖站80毫米。
受理案件：329件
路樹災情117件
廣告招牌災情11件
道路隧道災情10件
積淹水災情18件
土石災情4件
建物毀損8件
民生基礎設施災情114件
車輛及交通事故1件
環境汙染17件
其他災情29件"
104,0723水災,104年7月23日13時40分(二級開設),104年7月23日17時10分,"104年7月23日受午後短延時強降雨影響，13至15時為臺北市降雨最為劇烈的時段，最大累積雨量為中山區劍潭山站136.5毫米，最大時雨量亦為中山區劍潭山站112.5毫米。
受理案件：197件
路樹災情5件
道路隧道災情1件
房屋積淹水15件
道路積淹水127件
地下道積水2件
變電所電廠受災1件
電力停電1件
交通號誌損壞39件
環境汙染1件
前述以外其他災情5件"
104,蘇迪勒」（SOUDELOR）颱風-104年第13號颱風,"104年8月6日18時(二級開設)
104年8月7日8時(一級開設)",104年8月18日17時,"一、本次蘇迪勒颱風挾帶13級強陣風造成歷年來災情通報案件數最多，總計災情10,333 件，其中以路樹傾倒3,282件最多(樹木全倒6,560棵、傾倒 2,801棵、斷枝10,933棵，總計 20,294 棵)、其次分別為電力停電 1,353 件、招牌欲墜(墜落)1,251件、自來水停水1,008件等，本市因風災受傷民眾共計128 人(男性78人、女性50人)，其中11 人住院，輕傷者共117人。
二、蘇迪勒颱風影響期間，臺北市最大累積雨量為北投區竹子
湖站582毫米；最大時雨量南港區舊庄站103.5毫米。
三、受理案件：10333件
路樹傾倒：3282件
廣告招牌欲墜：735件
廣告招牌掉落：516件
道路邊坡坍方/落石：9件
道路、隧道施工區受損：2件
道路路基流失/坑洞：8件
前述以外之道路、隧道災情：20件
橋梁基礎沖刷：1件
前述以外之橋梁災情：2件
捷運工程災害：1件
前述以外鐵路、高鐵(捷運)設備損壞：2件
房屋積淹水(含房屋地室) ：366件
道路(地區)積淹水：157件
地下道積淹水(含車行道及地下人行道) ：2件
前述以外積淹水災情(如高架橋、橋梁、隧道) ：16件
土石流：9件
土石崩落：19件
圍牆(籬)倒塌：342件
建物輕微受損：699件
建物半倒：64件
抽水站受災：2件
前述以外水利設施：8件
電線(桿)或纜線毀損：530件
變電所、電廠受災：4件
路燈故障：213件
電力停電：1353件
電信停話：15件
自來水停水：1008件"
104,0818水災,104年8月18日15時30分(二級開設),104年8月18日19時,"104年8月18日受午後短延時強降雨影響，14至17時為臺北市降雨最為劇烈的時段，最大累積雨量為南港區九如里站151.5毫米，最大時雨量為信義區三興國小站98毫米。
受理案件：49件 
土石崩落：3
房屋積淹水(含房屋地室)：9
河川水位達警戒水位及封閉橋梁：1
前述以外其他災情：3
前述以外積淹水災情(如高架橋、橋梁、隧道)：7
建物輕微受損：1
路樹傾倒：5
路燈故障：1
道路(地區)積淹水：16
道路路基流失/坑洞：1
道路邊坡坍方/落石：1
電力停電：1"
104,杜鵑（DUJUAN）颱風104年第21號颱風,"104年9月27日18時(二級開設)
104年9月27日23(一級開設)
104年9月29日10時(二級開設)",104年9月29日18時30分,"杜鵑颱風影響期間，臺北市最大累積雨量為北投區鞍部站552.8毫米，最大時雨量為南港區茶製廠站89.5毫米。
受理案件：3417件
路樹災情：1083件
廣告招牌災情：299件
道路、隧道災情：39件
橋梁災情：2件
鐵路、高鐵及捷運災情：2件
積淹水災情：79件
土石災情：22件
建物毀損：343件
水利設施災害：3件
瓦斯管線毀損(含漏氣)：2
交通號誌損壞：171
自來水停水：277
路燈故障：91
電力停電：470
電信停話：9
電線(桿)或纜線毀損：238
變電所、電廠受災：5
交通事故(車禍) ：2
環境汙染(含垃圾清運) ：178
火災：1
其他災情救護送醫案件：101"
