序號,行政區,登山步道路線,總長M,單程步行時間min,步道分級,起點,起點經度座標,起點緯度座標,起點是否為階梯,迄點,迄點經度座標,迄點緯度座標,迄點是否為階梯,步道口是否有路擋,是否適合輪椅通行,輪椅可通行段平均坡度,輪椅可通行段長度M,行動電話通訊情形,是否有流動廁所,流動廁所位置,是否為無障礙廁所
67,北投區,頂湖海芋步道,460,25,親子級,名陽匐農場旁步道口,121.5376,25.1764,否,海芋田景觀木橋,121.5406,25.1786,否,否,是,3%,160,可,是,起點,否
68,北投區,猴崁步道,350,15,親子級,竹子湖路下切左轉,121.5347,25.1713,是,猴崁產業道路,121.5341,25.1685,是,否,否,無,0,可,是,迄點,否
69,北投區,水尾巴拉卡步道,518,60,親子級,竹子湖水尾公車站,121.5406,25.1786,是,巴拉卡公路,121.5376,25.1764,是,否,否,無,0,可,是,起點,否
70,北投區,湖田國小步道,650,30,親子級,竹子湖9號,121.5353,25.1648,是,猴崁產業道路(1K┼100),121.5385,25.1668,是,否,否,無,0,可,是,起點,否
71,北投區,水車寮步道,550,20,親子級,湖田國小停車場旁步道口,121.5386,25.1701,是,湖田大樹下餐廳步道口,121.5387,25.1728,是,否,否,無,0,可,是,起、迄點,否
72,北投區,軍艦岩步道,500,30,親子級,陽明醫學院步道口,121.5172,25.1237,是,軍艦岩前叉路,121.5188,25.1277,是,否,否,無,0,可,否,無,無
73,北投區,照明寺步道,1230,50,親子級,軍艦岩下泥土步道,121.5145,25.1319,是,照明禪寺,121.5188,25.1276,是,否,否,無,0,可,否,無,無
74,北投區,丹鳳山步道,1300,50,親子級,照明寺旁丹鳳山入口,121.514,25.1322,是,中和禪寺,121.5058,25.1307,是,否,否,無,0,可,否,無,無
75,北投區,半嶺步道,1200,50,親子級,(向前延伸至湖底路)紅檀前方30m步道口,121.5376,25.1464,是,欄杆橋頭福德宮,121.5333,25.1381,是,否,否,無,0,可,否,無,無
76,北投區,橫嶺古道,800,30,親子級,湖山路一段步道口,121.5417,25.1516,是,紅檀停車場,121.539,25.1451,否,是,否,無,0,可,是,迄點,否
77,北投區,湖山國小步道,568,30,親子級,湖底路48號湖山國小旁,121.5363,25.15,是,湖山路25之1號,121.5412,25.1516,是,否,否,無,0,可,否,無,無
78,北投區,風尾步道,291,20,親子級,東昇路38號前步道口,121.5285,25.1508,是,東昇路68-15號,121.5289,25.1544,是,否,否,無,0,可,是,迄點,否
79,北投區,泉源紗帽步道,684,35,親子級,泉源路232號上方路口,121.5326,25.1486,是,紗帽路10號巷口（對面至山谷下步道）,121.5274,25.1445,是,否,否,無,0,可,否,無,無
80,北投區,淨水廠步道,132,15,親子級,泉源路260號淨水廠旁步道口,121.5315,25.1505,是,水圳步道邊,121.5323,25.1509,是,否,否,無,0,可,否,無,無
81,北投區,鼎筆橋步道,363,25,親子級,鼎筆橋,121.5327,25.1517,是,東昇路(頂湖福德宮),121.5306,25.1531,是,否,否,無,0,可,是,迄點,否
82,北投區,陽峰古道,1100,45,親子級,陽峰古道入口,121.5358,25.1574,是,鼎筆橋旁,121.5329,25.152,是,否,否,無,0,可,否,無,無
83,北投區,磺溪溫泉步道,750,35,親子級,行義路260巷15號前步道口,121.5292,25.1363,否,行義路402巷42-1號皇池溫泉停車場旁步道口,121.5297,25.1415,是,是,否,無,0,可,否,無,無
84,北投區,硫磺谷步道,236,10,親子級,東昇路往硫磺谷福德宮巷口,121.5225,25.1442,是,東昇路與行義路交會處(過磺港溪),121.5237,25.146,是,否,否,無,0,可,是,迄點,否
85,北投區,忠義山步道-坪頂路支線,800,25,親子級,忠義山步道,121.4774,25.1431,是,坪頂路口(稻香路口),121.4813,25.1477,是,否,否,無,0,可,否,無,無
86,北投區,國華練習場至貴子坑步道,300,15,親子級,國華練習場,121.4859,25.1546,是,貴子坑步道,121.488,25.1538,是,否,否,無,0,可,否,無,無
87,北投區,湖山秘徑,362,15,親子級,4O砲陣地樓梯前,121.5422,25.1553,是,涼亭(陽明山第二停車場),121.5442,25.155,是,否,否,無,0,可,否,無,無
88,信義區,虎山溪步道,950,30,親子級,慈惠堂,121.5793,25.0382,否,復興園,121.5786,25.0328,是,是,否,無,0,可,否,無,無
89,信義區,虎山山腰步道,527,15,親子級,復興園,121.5786,25.0328,是,山神廟叉路,121.5828,25.034,是,否,否,無,0,可,否,無,無
