民國年,月,日,天然災害名稱,臺北市停止上班上課情形
108,8,24,白鹿颱風,8月24日未達停止上班及上課標準。
108,8,25,白鹿颱風,8月25日未達停止上班及上課標準。
108,9,30,米塔颱風,9月30日停止上班及上課。
108,10,1,米塔颱風,10月1日照常上班及上課。
109,11,7,閃電颱風,11月7日未達停止上班及上課標準。
110,9,11,璨樹颱風,9月11日照常上班及上課。
110,9,12,璨樹颱風,9月12日已達停止上班及上課標準。
110,9,13,璨樹颱風,9月13日照常上班及上課。
111,9,3,軒嵐諾颱風,9月3日未達停止上班及上課標準。
111,9,4,軒嵐諾颱風,9月4日未達停止上班及上課標準。
112,8,3,卡努颱風,8月3日停止上班及上課。
112,8,4,卡努颱風,8月4日照常上班及上課。
113,4,3,0403花蓮地震,"4月3日照常上班及上課。
臺北市立民族實驗國民中學、臺北市私立稻江高級商業職業學校及臺北市立景美女子高級中學（三年級）全天照常上班、停止上課；臺北市立大安高工及臺北市立誠正國民中學下午照常上班、停止上課；國立臺灣師範大學附屬高級中學（高中部一年級）上午11：00起照常上班、停止上課。"
113,7,24,凱米颱風,"	7月24日停止上班及上課。"
113,7,25,凱米颱風,7月25日停止上班及上課。
113,7,26,凱米颱風,7月26日照常上班及上課。
113,10,2,山陀兒颱風,10月2日停止上班及上課。
113,10,3,山陀兒颱風,10月3日停止上班及上課。
113,10,4,山陀兒颱風,10月4日照常上班及上課。
113,10,25,1023豪雨,10月25日照常上班及上課。臺北市北投區湖田里、臺北市士林區陽明山國民小學、臺北市湖田實驗國民小學、臺北市立格致國民中學、臺北市華岡藝術學校停止上班、停止上課。
113,10,31,康芮颱風,10月31日停止上班及上課。
113,11,1,康芮颱風,11月1日照常上班及上課。臺北市私立立人國際國民中小學 （小學部）停止上班、停止上課。臺北市指南實驗國民小學附設幼兒園照常上班、停止上課。
114,7,6,丹娜絲颱風,7月6日未達停止上班及上課標準。
114,7,7,丹娜絲颱風,7月7日照常上班及上課。
114,10,21,1020豪雨,10月21日照常上班及上課。臺北市湖田實驗國民小學、臺北市士林區陽明山國民小學、臺北市士林區平等國民小學、臺北市溪山實驗國民小學、臺北市士林區雙溪國民小學停止上班、停止上課。
114,10,22,1020豪雨,10月22日照常上班及上課。臺北市湖田實驗國民小學、臺北市士林區陽明山國民小學、臺北市士林區平等國民小學、臺北市溪山實驗國民小學、台北復臨美國學校停止上班、停止上課。
114,10,23,1020豪雨,10月23日照常上班及上課。臺北市士林區陽明山國民小學停止上班、停止上課。
114,11,11,鳳凰颱風,11月11日照常上班及上課。臺北市士林區永福里、新安里、陽明里、公館里、菁山里、平等里、溪山里、翠山里及臺北市北投區湖田里、湖山里、大屯里、泉源里停止上班、停止上課。
114,11,12,鳳凰颱風,11月12日照常上班及上課。
